rinpersoon,year,num_employed_months,num_firms_worked_at,average_salary_while_employed
0006861b,2010,4,4,6447.75
0006861b,2011,2,2,5851.5
0006861b,2012,5,5,7012.4
0006861b,2013,2,2,7602.5
0006861b,2014,5,5,7092.0
0006861b,2015,2,2,6422.0
0006861b,2016,4,4,5330.25
0006861b,2017,4,4,4228.5
0006861b,2018,4,4,3127.5
0006861b,2019,4,4,6881.75
0006861b,2020,4,4,3051.5
0009f3ff,2010,5,5,5397.8
0009f3ff,2011,3,3,6801.333333333333
0009f3ff,2012,5,5,5640.6
0009f3ff,2013,3,3,6993.333333333333
0009f3ff,2014,5,5,6435.6
0009f3ff,2015,5,5,6610.0
0009f3ff,2016,4,4,5128.75
0009f3ff,2017,5,5,5117.2
0009f3ff,2018,3,3,4837.333333333333
0009f3ff,2019,5,5,4878.4
0009f3ff,2020,4,4,6867.75
0014ef1c,2010,2,2,5447.5
0014ef1c,2011,5,5,7643.0
0014ef1c,2012,4,4,5234.25
0014ef1c,2013,4,4,5079.5
0014ef1c,2014,3,3,7567.666666666667
0014ef1c,2015,4,4,5546.25
0014ef1c,2016,3,3,5593.333333333333
0014ef1c,2017,5,5,4464.0
0014ef1c,2018,3,3,7485.0
0014ef1c,2019,5,5,6404.8
0014ef1c,2020,4,4,6318.75
001c3628,2010,4,4,3669.75
001c3628,2011,4,4,4162.5
001c3628,2012,3,3,7721.666666666667
001c3628,2013,5,5,5456.8
001c3628,2014,3,3,6643.666666666667
001c3628,2015,5,5,6433.0
001c3628,2016,4,4,5108.0
001c3628,2017,5,5,4738.2
001c3628,2018,4,4,7047.0
001c3628,2019,3,3,3456.0
001c3628,2020,4,4,5374.0
0022efe0,2010,4,4,5732.5
0022efe0,2011,5,5,5197.0
0022efe0,2012,4,4,4575.5
0022efe0,2013,5,5,5356.8
0022efe0,2014,1,1,7118.0
0022efe0,2015,5,5,3586.8
0022efe0,2016,4,4,4028.5
0022efe0,2017,5,5,5354.8
0022efe0,2018,3,3,7374.666666666667
0022efe0,2019,5,5,6348.6
0022efe0,2020,4,4,4180.75
003fbfa0,2010,4,4,3740.5
003fbfa0,2011,4,4,3783.75
003fbfa0,2012,5,5,5315.2
003fbfa0,2013,5,5,6368.4
003fbfa0,2014,4,4,4292.5
003fbfa0,2015,3,3,4104.333333333333
003fbfa0,2016,5,5,5515.4
003fbfa0,2017,2,2,3681.5
003fbfa0,2018,4,4,8576.5
003fbfa0,2019,4,4,4487.0
003fbfa0,2020,4,4,7261.5
00443ad5,2010,4,4,6876.0
00443ad5,2011,5,5,7999.8
00443ad5,2012,4,4,5700.25
00443ad5,2013,5,5,5487.0
00443ad5,2014,4,4,5799.25
00443ad5,2015,5,5,4697.2
00443ad5,2016,2,2,8729.0
00443ad5,2017,4,4,5911.5
00443ad5,2018,5,5,5970.0
00443ad5,2019,5,5,6773.8
00443ad5,2020,4,4,5721.75
004f0206,2010,3,3,2791.0
004f0206,2011,4,4,6540.75
004f0206,2012,5,5,6456.0
