,HOUSEKEEPING_NR,TYPHH,rinpersoon,PLHH,REFPERSOONHH,NUMBERPERSHH,DATE_STIRTHH,DATUMEINDEHH,AANTALOVHH,AANTALKINDHH,EVENT,BIRTHEDYOUNGCHILDHH,GEBMAANDJONGSTEKINDHH,GEBJAAROUDSTEKINDHH,BMAANDOUDSTEKINDHH,hierarchy,ID_list_child living at home,ID_list_parent in single parent household,ID_list_partner in couple with children,ID_list_partner in couple without children,ID_list_single person
0,d51322ef,couple with children,71ed4a86,partner in couple with children,1,5,1990-01-01,1991-01-01,2,3,initiate,2015.0,01,2010.0,05,d51322ef_1990-01-01,"['62e811bb', 'cc883317', 'b8b85917']",,"['71ed4a86', '2ed687a6']",,
1,d51322ef,couple with children,2ed687a6,partner in couple with children,1,5,1990-01-01,1991-01-01,2,3,initiate,2015.0,01,2010.0,05,d51322ef_1990-01-01,"['62e811bb', 'cc883317', 'b8b85917']",,"['71ed4a86', '2ed687a6']",,
2,d51322ef,couple with children,62e811bb,child living at home,1,5,1990-01-01,1991-01-01,2,3,initiate,2015.0,01,2010.0,05,d51322ef_1990-01-01,"['62e811bb', 'cc883317', 'b8b85917']",,"['71ed4a86', '2ed687a6']",,
3,d51322ef,couple with children,cc883317,child living at home,1,5,1990-01-01,1991-01-01,2,3,initiate,2015.0,01,2010.0,05,d51322ef_1990-01-01,"['62e811bb', 'cc883317', 'b8b85917']",,"['71ed4a86', '2ed687a6']",,
4,d51322ef,couple with children,b8b85917,child living at home,1,5,1990-01-01,1991-01-01,2,3,initiate,2015.0,01,2010.0,05,d51322ef_1990-01-01,"['62e811bb', 'cc883317', 'b8b85917']",,"['71ed4a86', '2ed687a6']",,
5,62fe1928,single person household,63d409b8,single person,1,1,1990-01-01,1991-01-01,1,0,initiate,,--,,--,62fe1928_1990-01-01,,,,,['63d409b8']
6,5e5f17bb,couple with children,cc497336,partner in couple with children,0,4,1990-01-01,1991-01-01,2,2,initiate,2015.0,01,2010.0,05,5e5f17bb_1990-01-01,"['c32be144', '9c1c5278']",,"['cc497336', '55a4503d']",,
7,5e5f17bb,couple with children,55a4503d,partner in couple with children,0,4,1990-01-01,1991-01-01,2,2,initiate,2015.0,01,2010.0,05,5e5f17bb_1990-01-01,"['c32be144', '9c1c5278']",,"['cc497336', '55a4503d']",,
8,5e5f17bb,couple with children,c32be144,child living at home,0,4,1990-01-01,1991-01-01,2,2,initiate,2015.0,01,2010.0,05,5e5f17bb_1990-01-01,"['c32be144', '9c1c5278']",,"['cc497336', '55a4503d']",,
9,5e5f17bb,couple with children,9c1c5278,child living at home,0,4,1990-01-01,1991-01-01,2,2,initiate,2015.0,01,2010.0,05,5e5f17bb_1990-01-01,"['c32be144', '9c1c5278']",,"['cc497336', '55a4503d']",,
10,ec41be7d,single parent household,1206949c,parent in single parent household,0,3,1990-01-01,1991-01-01,1,2,initiate,,--,,--,ec41be7d_1990-01-01,"['d17ac422', 'afb1d667']",['1206949c'],,,
11,ec41be7d,single parent household,d17ac422,child living at home,0,3,1990-01-01,1991-01-01,1,2,initiate,,--,,--,ec41be7d_1990-01-01,"['d17ac422', 'afb1d667']",['1206949c'],,,
12,ec41be7d,single parent household,afb1d667,child living at home,0,3,1990-01-01,1991-01-01,1,2,initiate,,--,,--,ec41be7d_1990-01-01,"['d17ac422', 'afb1d667']",['1206949c'],,,
13,e94bc627,couple with children,e3e7553d,partner in couple with children,0,4,1990-01-01,1991-01-01,2,2,initiate,2015.0,01,2010.0,05,e94bc627_1990-01-01,"['66e9ba2b', '30197924']",,"['e3e7553d', '254f7859']",,
14,e94bc627,couple with children,254f7859,partner in couple with children,0,4,1990-01-01,1991-01-01,2,2,initiate,2015.0,01,2010.0,05,e94bc627_1990-01-01,"['66e9ba2b', '30197924']",,"['e3e7553d', '254f7859']",,
15,e94bc627,couple with children,66e9ba2b,child living at home,0,4,1990-01-01,1991-01-01,2,2,initiate,2015.0,01,2010.0,05,e94bc627_1990-01-01,"['66e9ba2b', '30197924']",,"['e3e7553d', '254f7859']",,
16,e94bc627,couple with children,30197924,child living at home,0,4,1990-01-01,1991-01-01,2,2,initiate,2015.0,01,2010.0,05,e94bc627_1990-01-01,"['66e9ba2b', '30197924']",,"['e3e7553d', '254f7859']",,
17,d24d2d17,couple with children,f99b413e,partner in couple with children,0,5,1990-01-01,1991-01-01,2,3,initiate,2015.0,01,2010.0,05,d24d2d17_1990-01-01,"['be0a58d4', 'b8432ead', 'c15e4cb4']",,"['f99b413e', 'caffcfd9']",,
18,d24d2d17,couple with children,caffcfd9,partner in couple with children,0,5,1990-01-01,1991-01-01,2,3,initiate,2015.0,01,2010.0,05,d24d2d17_1990-01-01,"['be0a58d4', 'b8432ead', 'c15e4cb4']",,"['f99b413e', 'caffcfd9']",,
19,d24d2d17,couple with children,be0a58d4,child living at home,0,5,1990-01-01,1991-01-01,2,3,initiate,2015.0,01,2010.0,05,d24d2d17_1990-01-01,"['be0a58d4', 'b8432ead', 'c15e4cb4']",,"['f99b413e', 'caffcfd9']",,
20,d24d2d17,couple with children,b8432ead,child living at home,0,5,1990-01-01,1991-01-01,2,3,initiate,2015.0,01,2010.0,05,d24d2d17_1990-01-01,"['be0a58d4', 'b8432ead', 'c15e4cb4']",,"['f99b413e', 'caffcfd9']",,
21,d24d2d17,couple with children,c15e4cb4,child living at home,0,5,1990-01-01,1991-01-01,2,3,initiate,2015.0,01,2010.0,05,d24d2d17_1990-01-01,"['be0a58d4', 'b8432ead', 'c15e4cb4']",,"['f99b413e', 'caffcfd9']",,
22,36360839,couple without children,4bfb08e0,partner in couple without children,0,2,1990-01-01,1991-01-01,2,0,initiate,2015.0,01,2010.0,05,36360839_1990-01-01,,,,"['4bfb08e0', '461f62ba']",
23,36360839,couple without children,461f62ba,partner in couple without children,0,2,1990-01-01,1991-01-01,2,0,initiate,2015.0,01,2010.0,05,36360839_1990-01-01,,,,"['4bfb08e0', '461f62ba']",
24,08af5dc9,couple without children,36677213,partner in couple without children,0,2,1990-01-01,1991-01-01,2,0,initiate,2015.0,01,2010.0,05,08af5dc9_1990-01-01,,,,"['36677213', 'c2d3fb66']",
25,08af5dc9,couple without children,c2d3fb66,partner in couple without children,0,2,1990-01-01,1991-01-01,2,0,initiate,2015.0,01,2010.0,05,08af5dc9_1990-01-01,,,,"['36677213', 'c2d3fb66']",
26,ddeecec6,single person household,120a256a,single person,1,1,1990-01-01,1991-01-01,1,0,initiate,,--,,--,ddeecec6_1990-01-01,,,,,['120a256a']
27,1226ed24,couple without children,a1e63301,partner in couple without children,0,2,1990-01-01,1991-01-01,2,0,initiate,2015.0,01,2010.0,05,1226ed24_1990-01-01,,,,"['a1e63301', '83848be9']",
28,1226ed24,couple without children,83848be9,partner in couple without children,0,2,1990-01-01,1991-01-01,2,0,initiate,2015.0,01,2010.0,05,1226ed24_1990-01-01,,,,"['a1e63301', '83848be9']",
29,c6187a91,single parent household,437acb0e,parent in single parent household,1,3,1990-01-01,1991-01-01,1,2,initiate,,--,,--,c6187a91_1990-01-01,"['a9998b37', 'a58f8773']",['437acb0e'],,,
30,c6187a91,single parent household,a9998b37,child living at home,1,3,1990-01-01,1991-01-01,1,2,initiate,,--,,--,c6187a91_1990-01-01,"['a9998b37', 'a58f8773']",['437acb0e'],,,
31,c6187a91,single parent household,a58f8773,child living at home,1,3,1990-01-01,1991-01-01,1,2,initiate,,--,,--,c6187a91_1990-01-01,"['a9998b37', 'a58f8773']",['437acb0e'],,,
32,e16d39e3,couple with children,fde16b96,partner in couple with children,0,3,1990-01-01,1991-01-01,2,1,initiate,2015.0,01,2010.0,05,e16d39e3_1990-01-01,['887cd01c'],,"['fde16b96', '65a2e8d1']",,
33,e16d39e3,couple with children,65a2e8d1,partner in couple with children,0,3,1990-01-01,1991-01-01,2,1,initiate,2015.0,01,2010.0,05,e16d39e3_1990-01-01,['887cd01c'],,"['fde16b96', '65a2e8d1']",,
34,e16d39e3,couple with children,887cd01c,child living at home,0,3,1990-01-01,1991-01-01,2,1,initiate,2015.0,01,2010.0,05,e16d39e3_1990-01-01,['887cd01c'],,"['fde16b96', '65a2e8d1']",,
35,fd6a5e52,couple with children,20a30672,partner in couple with children,0,3,1990-01-01,1991-01-01,2,1,initiate,2015.0,01,2010.0,05,fd6a5e52_1990-01-01,['2ae09b76'],,"['20a30672', 'af1b4a1b']",,
36,fd6a5e52,couple with children,af1b4a1b,partner in couple with children,0,3,1990-01-01,1991-01-01,2,1,initiate,2015.0,01,2010.0,05,fd6a5e52_1990-01-01,['2ae09b76'],,"['20a30672', 'af1b4a1b']",,
37,fd6a5e52,couple with children,2ae09b76,child living at home,0,3,1990-01-01,1991-01-01,2,1,initiate,2015.0,01,2010.0,05,fd6a5e52_1990-01-01,['2ae09b76'],,"['20a30672', 'af1b4a1b']",,
38,5391eb95,couple without children,8f260525,partner in couple without children,1,2,1990-01-01,1991-01-01,2,0,initiate,2015.0,01,2010.0,05,5391eb95_1990-01-01,,,,"['8f260525', '88285fb4']",
39,5391eb95,couple without children,88285fb4,partner in couple without children,1,2,1990-01-01,1991-01-01,2,0,initiate,2015.0,01,2010.0,05,5391eb95_1990-01-01,,,,"['8f260525', '88285fb4']",
40,51de5bb7,couple with children,09f7a651,partner in couple with children,1,5,1990-01-01,1991-01-01,2,3,initiate,2015.0,01,2010.0,05,51de5bb7_1990-01-01,"['c87c7eb3', '1610981e', '37aba74f']",,"['09f7a651', '1cefb90b']",,
41,51de5bb7,couple with children,1cefb90b,partner in couple with children,1,5,1990-01-01,1991-01-01,2,3,initiate,2015.0,01,2010.0,05,51de5bb7_1990-01-01,"['c87c7eb3', '1610981e', '37aba74f']",,"['09f7a651', '1cefb90b']",,
42,51de5bb7,couple with children,c87c7eb3,child living at home,1,5,1990-01-01,1991-01-01,2,3,initiate,2015.0,01,2010.0,05,51de5bb7_1990-01-01,"['c87c7eb3', '1610981e', '37aba74f']",,"['09f7a651', '1cefb90b']",,
43,51de5bb7,couple with children,1610981e,child living at home,1,5,1990-01-01,1991-01-01,2,3,initiate,2015.0,01,2010.0,05,51de5bb7_1990-01-01,"['c87c7eb3', '1610981e', '37aba74f']",,"['09f7a651', '1cefb90b']",,
44,51de5bb7,couple with children,37aba74f,child living at home,1,5,1990-01-01,1991-01-01,2,3,initiate,2015.0,01,2010.0,05,51de5bb7_1990-01-01,"['c87c7eb3', '1610981e', '37aba74f']",,"['09f7a651', '1cefb90b']",,
45,a9e34ed8,couple with children,a553b7f9,partner in couple with children,1,4,1990-01-01,1991-01-01,2,2,initiate,2015.0,01,2010.0,05,a9e34ed8_1990-01-01,"['916b9948', '6d9cc4bb']",,"['a553b7f9', 'ecc584e2']",,
46,a9e34ed8,couple with children,ecc584e2,partner in couple with children,1,4,1990-01-01,1991-01-01,2,2,initiate,2015.0,01,2010.0,05,a9e34ed8_1990-01-01,"['916b9948', '6d9cc4bb']",,"['a553b7f9', 'ecc584e2']",,
47,a9e34ed8,couple with children,916b9948,child living at home,1,4,1990-01-01,1991-01-01,2,2,initiate,2015.0,01,2010.0,05,a9e34ed8_1990-01-01,"['916b9948', '6d9cc4bb']",,"['a553b7f9', 'ecc584e2']",,
48,a9e34ed8,couple with children,6d9cc4bb,child living at home,1,4,1990-01-01,1991-01-01,2,2,initiate,2015.0,01,2010.0,05,a9e34ed8_1990-01-01,"['916b9948', '6d9cc4bb']",,"['a553b7f9', 'ecc584e2']",,
49,208bf2ca,single parent household,9c7fae3a,parent in single parent household,0,2,1990-01-01,1991-01-01,1,1,initiate,,--,,--,208bf2ca_1990-01-01,['d35cf72b'],['9c7fae3a'],,,
50,208bf2ca,single parent household,d35cf72b,child living at home,0,2,1990-01-01,1991-01-01,1,1,initiate,,--,,--,208bf2ca_1990-01-01,['d35cf72b'],['9c7fae3a'],,,
51,9764e583,single person household,0b2f1798,single person,1,1,1990-01-01,1991-01-01,1,0,initiate,,--,,--,9764e583_1990-01-01,,,,,['0b2f1798']
52,ffa84504,single person household,b0a21246,single person,0,1,1990-01-01,1991-01-01,1,0,initiate,,--,,--,ffa84504_1990-01-01,,,,,['b0a21246']
53,07a30e39,couple without children,17250469,partner in couple without children,0,2,1990-01-01,1991-01-01,2,0,initiate,2015.0,01,2010.0,05,07a30e39_1990-01-01,,,,"['17250469', 'ec2e126b']",
54,07a30e39,couple without children,ec2e126b,partner in couple without children,0,2,1990-01-01,1991-01-01,2,0,initiate,2015.0,01,2010.0,05,07a30e39_1990-01-01,,,,"['17250469', 'ec2e126b']",
55,30aed750,single parent household,de5b3581,parent in single parent household,0,4,1990-01-01,1991-01-01,1,3,initiate,,--,,--,30aed750_1990-01-01,"['74fdfb73', 'f39962d5', '34c3bf80']",['de5b3581'],,,
56,30aed750,single parent household,74fdfb73,child living at home,0,4,1990-01-01,1991-01-01,1,3,initiate,,--,,--,30aed750_1990-01-01,"['74fdfb73', 'f39962d5', '34c3bf80']",['de5b3581'],,,
57,30aed750,single parent household,f39962d5,child living at home,0,4,1990-01-01,1991-01-01,1,3,initiate,,--,,--,30aed750_1990-01-01,"['74fdfb73', 'f39962d5', '34c3bf80']",['de5b3581'],,,
58,30aed750,single parent household,34c3bf80,child living at home,0,4,1990-01-01,1991-01-01,1,3,initiate,,--,,--,30aed750_1990-01-01,"['74fdfb73', 'f39962d5', '34c3bf80']",['de5b3581'],,,
59,9cf2a509,single parent household,853fe91f,parent in single parent household,1,2,1990-01-01,1991-01-01,1,1,initiate,,--,,--,9cf2a509_1990-01-01,['02dae9b3'],['853fe91f'],,,
60,9cf2a509,single parent household,02dae9b3,child living at home,1,2,1990-01-01,1991-01-01,1,1,initiate,,--,,--,9cf2a509_1990-01-01,['02dae9b3'],['853fe91f'],,,
61,50a82ac0,single parent household,ceb688ab,parent in single parent household,0,2,1990-01-01,1991-01-01,1,1,initiate,,--,,--,50a82ac0_1990-01-01,['6b9bb414'],['ceb688ab'],,,
62,50a82ac0,single parent household,6b9bb414,child living at home,0,2,1990-01-01,1991-01-01,1,1,initiate,,--,,--,50a82ac0_1990-01-01,['6b9bb414'],['ceb688ab'],,,
