,HOUSEKEEPING_NR,TYPHH,rinpersoon,PLHH,REFPERSOONHH,NUMBERPERSHH,DATE_STIRTHH,DATUMEINDEHH,AANTALOVHH,AANTALKINDHH,BIRTHEDYOUNGCHILDHH,GEBMAANDJONGSTEKINDHH,GEBJAAROUDSTEKINDHH,BMAANDOUDSTEKINDHH,hierarchy,ID_list_rinpersoon
0,d51322ef,couple without children,71ed4a86,partner in couple without children,1,2,1990-01-01,1991-01-01,2,0,2015.0,01,2010.0,05,d51322ef_1990-01-01,"['71ed4a86', '2ed687a6']"
1,d51322ef,couple without children,2ed687a6,partner in couple without children,1,2,1990-01-01,1991-01-01,2,0,2015.0,01,2010.0,05,d51322ef_1990-01-01,"['71ed4a86', '2ed687a6']"
2,62fe1928,single person household,62e811bb,single person,1,1,1990-01-01,1991-01-01,1,0,,--,,--,62fe1928_1990-01-01,['62e811bb']
3,5e5f17bb,single parent household,cc883317,parent in single parent household,1,2,1990-01-01,1991-01-01,1,1,,--,,--,5e5f17bb_1990-01-01,"['cc883317', 'b8b85917']"
4,5e5f17bb,single parent household,b8b85917,child living at home,1,2,1990-01-01,1991-01-01,1,1,,--,,--,5e5f17bb_1990-01-01,"['cc883317', 'b8b85917']"
5,ec41be7d,couple with children,63d409b8,partner in couple with children,1,4,1990-01-01,1991-01-01,2,2,2015.0,01,2010.0,05,ec41be7d_1990-01-01,"['63d409b8', 'cc497336', '55a4503d', 'c32be144']"
6,ec41be7d,couple with children,cc497336,partner in couple with children,1,4,1990-01-01,1991-01-01,2,2,2015.0,01,2010.0,05,ec41be7d_1990-01-01,"['63d409b8', 'cc497336', '55a4503d', 'c32be144']"
7,ec41be7d,couple with children,55a4503d,child living at home,1,4,1990-01-01,1991-01-01,2,2,2015.0,01,2010.0,05,ec41be7d_1990-01-01,"['63d409b8', 'cc497336', '55a4503d', 'c32be144']"
8,ec41be7d,couple with children,c32be144,child living at home,1,4,1990-01-01,1991-01-01,2,2,2015.0,01,2010.0,05,ec41be7d_1990-01-01,"['63d409b8', 'cc497336', '55a4503d', 'c32be144']"
9,e94bc627,couple with children,9c1c5278,partner in couple with children,0,5,1990-01-01,1991-01-01,2,3,2015.0,01,2010.0,05,e94bc627_1990-01-01,"['9c1c5278', '1206949c', 'd17ac422', 'afb1d667', 'e3e7553d']"
10,e94bc627,couple with children,1206949c,partner in couple with children,0,5,1990-01-01,1991-01-01,2,3,2015.0,01,2010.0,05,e94bc627_1990-01-01,"['9c1c5278', '1206949c', 'd17ac422', 'afb1d667', 'e3e7553d']"
11,e94bc627,couple with children,d17ac422,child living at home,0,5,1990-01-01,1991-01-01,2,3,2015.0,01,2010.0,05,e94bc627_1990-01-01,"['9c1c5278', '1206949c', 'd17ac422', 'afb1d667', 'e3e7553d']"
12,e94bc627,couple with children,afb1d667,child living at home,0,5,1990-01-01,1991-01-01,2,3,2015.0,01,2010.0,05,e94bc627_1990-01-01,"['9c1c5278', '1206949c', 'd17ac422', 'afb1d667', 'e3e7553d']"
