rinpersoon,education_level,GBAGEBOORTEJAAR,OPLNIVSOI2016AGG4HBMETNIRWO,OPLNIVSOI2016AGG4HGMETNIRWO,RICHTdetailISCEDF2013HBmetNIRWO,RICHTdetailISCEDF2013HGmetNIRWO,OPLNIVSOI2021AGG4HBmetNIRWO,OPLNIVSOI2021AGG4HGmetNIRWO,RICHTSOI2021SCEDF2013HBNIRWO,RICHTSOI2021SCEDF2013HGNIRWO,year
ff6564cf,15.0,1980,-,-,-,-,-,-,-,-,2010
ff674921,12.0,1954,-,-,-,-,-,-,-,-,2010
007fc2cd,2.0,1998,-,-,-,-,-,-,-,-,2010
008915e9,14.0,1985,-,-,-,-,-,-,-,-,2010
00530c42,6.0,1989,-,-,-,-,-,-,-,-,2010
0057d6b5,4.0,1980,-,-,-,-,-,-,-,-,2010
0057e2cb,8.0,1984,-,-,-,-,-,-,-,-,2010
0059dde3,16.0,1957,-,-,-,-,-,-,-,-,2010
005b6208,5.0,1990,-,-,-,-,-,-,-,-,2010
00650caf,10.0,1960,-,-,-,-,-,-,-,-,2010
006c5d5e,14.0,1956,-,-,-,-,-,-,-,-,2010
006f20e1,11.0,1967,-,-,-,-,-,-,-,-,2010
00721713,14.0,1988,-,-,-,-,-,-,-,-,2010
ffc507c9,11.0,1952,-,-,-,-,-,-,-,-,2010
e2b6f343,16.0,1981,-,-,-,-,-,-,-,-,2010
e2bd8eaa,9.0,1967,-,-,-,-,-,-,-,-,2010
00a05037,6.0,1997,-,-,-,-,-,-,-,-,2010
00a19f6a,7.0,1966,-,-,-,-,-,-,-,-,2010
00a2cd32,5.0,1980,-,-,-,-,-,-,-,-,2010
00a50ca8,3.0,1997,-,-,-,-,-,-,-,-,2010
ffda4553,13.0,1966,-,-,-,-,-,-,-,-,2010
0009f3ff,12.0,1984,-,-,-,-,-,-,-,-,2010
0014ef1c,3.0,1963,-,-,-,-,-,-,-,-,2010
001c3628,14.0,1989,-,-,-,-,-,-,-,-,2010
0022efe0,10.0,1968,-,-,-,-,-,-,-,-,2010
007adca0,3.0,1989,-,-,-,-,-,-,-,-,2010
ffc90f02,14.0,1996,-,-,-,-,-,-,-,-,2010
ffcb1262,16.0,1951,-,-,-,-,-,-,-,-,2010
ffd0e444,12.0,1957,-,-,-,-,-,-,-,-,2010
ffd12d2d,5.0,1980,-,-,-,-,-,-,-,-,2010
ffd53154,14.0,1990,-,-,-,-,-,-,-,-,2010
ff5e56b6,15.0,1955,-,-,-,-,-,-,-,-,2010
00b56f85,9.0,1951,-,-,-,-,-,-,-,-,2010
00b7d201,16.0,1983,-,-,-,-,-,-,-,-,2010
00b99b31,3.0,1968,-,-,-,-,-,-,-,-,2010
00c1aa6c,6.0,1991,-,-,-,-,-,-,-,-,2010
00ca0e25,5.0,1950,-,-,-,-,-,-,-,-,2010
00ca36fe,1.0,1982,-,-,-,-,-,-,-,-,2010
00cb281d,12.0,1984,-,-,-,-,-,-,-,-,2010
00cd2c1a,10.0,1993,-,-,-,-,-,-,-,-,2010
00d2f8a7,17.0,1982,-,-,-,-,-,-,-,-,2010
00dd5e7a,4.0,1987,-,-,-,-,-,-,-,-,2010
ffa63f05,4.0,1990,-,-,-,-,-,-,-,-,2010
ffb7d072,15.0,1980,-,-,-,-,-,-,-,-,2010
ffc23a7a,14.0,1955,-,-,-,-,-,-,-,-,2010
0093b08f,13.0,1994,-,-,-,-,-,-,-,-,2010
0098d70a,16.0,1952,-,-,-,-,-,-,-,-,2010
009994c9,16.0,1999,-,-,-,-,-,-,-,-,2010
013a0367,7.0,1992,-,-,-,-,-,-,-,-,2010
013e2a06,15.0,1960,-,-,-,-,-,-,-,-,2010
00de5278,11.0,1964,-,-,-,-,-,-,-,-,2010
00de943a,6.0,1954,-,-,-,-,-,-,-,-,2010
00e1ae12,17.0,1956,-,-,-,-,-,-,-,-,2010
00e4acd0,10.0,1962,-,-,-,-,-,-,-,-,2010
00e8e9b6,6.0,1960,-,-,-,-,-,-,-,-,2010
00ec362f,16.0,1991,-,-,-,-,-,-,-,-,2010
00ed35f8,3.0,1969,-,-,-,-,-,-,-,-,2010
00f3036b,10.0,1961,-,-,-,-,-,-,-,-,2010
00f4d6cb,17.0,1987,-,-,-,-,-,-,-,-,2010
00f8d405,3.0,1961,-,-,-,-,-,-,-,-,2010
00fe71ba,13.0,1985,-,-,-,-,-,-,-,-,2010
01030496,12.0,1995,-,-,-,-,-,-,-,-,2010
00a579d8,9.0,1992,-,-,-,-,-,-,-,-,2010
00acd53c,14.0,1996,-,-,-,-,-,-,-,-,2010
011b4848,5.0,1988,-,-,-,-,-,-,-,-,2010
dd3a6eeb,8.0,1982,-,-,-,-,-,-,-,-,2010
003fbfa0,3.0,1954,-,-,-,-,-,-,-,-,2010
00443ad5,8.0,1993,-,-,-,-,-,-,-,-,2010
004f0206,13.0,1983,-,-,-,-,-,-,-,-,2010
00527f04,6.0,1956,-,-,-,-,-,-,-,-,2010
dcbdfe5a,2.0,1996,-,-,-,-,-,-,-,-,2010
dcc3a895,4.0,1984,-,-,-,-,-,-,-,-,2010
dcc6a2c7,16.0,1968,-,-,-,-,-,-,-,-,2010
dcc87dfd,1.0,1956,-,-,-,-,-,-,-,-,2010
dccd2b3e,1.0,1952,-,-,-,-,-,-,-,-,2010
dcdaefce,14.0,1991,-,-,-,-,-,-,-,-,2010
dce1fb22,10.0,1987,-,-,-,-,-,-,-,-,2010
dce43cfc,17.0,1969,-,-,-,-,-,-,-,-,2010
012ac48b,11.0,1963,-,-,-,-,-,-,-,-,2010
012c7ac3,2.0,1966,-,-,-,-,-,-,-,-,2010
015b95f6,10.0,1969,-,-,-,-,-,-,-,-,2010
015ccec2,3.0,1963,-,-,-,-,-,-,-,-,2010
015db3b9,10.0,1950,-,-,-,-,-,-,-,-,2010
01676d27,17.0,1997,-,-,-,-,-,-,-,-,2010
01799c36,15.0,1982,-,-,-,-,-,-,-,-,2010
017d561c,3.0,1996,-,-,-,-,-,-,-,-,2010
017f5a1a,10.0,1980,-,-,-,-,-,-,-,-,2010
01810df3,4.0,1986,-,-,-,-,-,-,-,-,2010
01920b99,14.0,1989,-,-,-,-,-,-,-,-,2010
0108659d,7.0,1959,-,-,-,-,-,-,-,-,2010
01087c09,1.0,1986,-,-,-,-,-,-,-,-,2010
010f7508,9.0,1997,-,-,-,-,-,-,-,-,2010
011073ee,4.0,1954,-,-,-,-,-,-,-,-,2010
0111e9de,8.0,1961,-,-,-,-,-,-,-,-,2010
0119f3a6,3.0,1961,-,-,-,-,-,-,-,-,2010
011a63b4,12.0,1990,-,-,-,-,-,-,-,-,2010
01b0b28d,12.0,1991,-,-,-,-,-,-,-,-,2010
01b2f964,4.0,1984,-,-,-,-,-,-,-,-,2010
01b3369c,1.0,1950,-,-,-,-,-,-,-,-,2010
01b6a095,7.0,1969,-,-,-,-,-,-,-,-,2010
01bdf583,6.0,1955,-,-,-,-,-,-,-,-,2010
01c140b9,4.0,1964,-,-,-,-,-,-,-,-,2010
01ced5f8,3.0,1962,-,-,-,-,-,-,-,-,2010
