rinpersoon,year,num_employed_months,num_firms_worked_at,average_salary_while_employed
0006861b,2010,4,4,5310.0
0006861b,2011,4,4,4209.25
0006861b,2012,5,5,4164.8
0006861b,2013,3,3,4970.333333333333
0006861b,2014,4,4,3583.25
0006861b,2015,4,4,5892.75
0006861b,2016,4,4,5033.25
0006861b,2017,5,5,7653.0
0006861b,2018,3,3,3847.3333333333335
0006861b,2019,5,4,5984.6
0006861b,2020,5,4,6999.8
0009f3ff,2010,5,5,5323.6
0009f3ff,2011,5,5,4760.0
0009f3ff,2012,4,4,3820.0
0009f3ff,2013,4,4,7388.25
0009f3ff,2014,3,3,6286.666666666667
0009f3ff,2015,3,3,6199.333333333333
0009f3ff,2016,4,4,8140.25
0009f3ff,2017,5,5,5388.8
0009f3ff,2018,2,2,8259.0
0009f3ff,2019,4,4,3273.5
0009f3ff,2020,4,4,5758.5
0014ef1c,2010,5,3,5307.8
0014ef1c,2011,3,2,5948.666666666667
0014ef1c,2012,5,4,4146.4
0014ef1c,2013,3,2,4849.0
0014ef1c,2014,5,4,5560.2
0014ef1c,2015,4,3,4302.75
0014ef1c,2016,4,3,3547.5
0014ef1c,2017,5,4,4580.4
0014ef1c,2018,3,2,1814.0
0014ef1c,2019,5,4,6571.4
0014ef1c,2020,5,4,7654.8
001c3628,2010,3,3,5781.666666666667
001c3628,2011,3,3,6924.333333333333
001c3628,2012,4,4,5047.0
001c3628,2013,5,5,3807.6
001c3628,2014,3,3,5298.666666666667
001c3628,2015,5,5,6365.6
001c3628,2016,3,3,1970.0
001c3628,2017,4,4,5859.25
001c3628,2018,5,5,4998.0
001c3628,2019,3,3,6896.333333333333
001c3628,2020,4,4,7020.5
0022efe0,2010,4,4,7188.75
0022efe0,2011,4,4,4620.75
0022efe0,2012,4,4,4005.0
0022efe0,2013,4,4,7607.0
0022efe0,2014,3,3,4796.0
0022efe0,2015,5,5,6945.0
0022efe0,2016,5,5,5299.8
0022efe0,2017,5,5,6691.2
0022efe0,2018,3,3,8110.333333333333
0022efe0,2019,4,4,5537.75
0022efe0,2020,2,2,3700.0
003fbfa0,2010,4,4,7489.0
003fbfa0,2011,4,3,6230.0
003fbfa0,2012,5,4,5652.2
003fbfa0,2013,4,3,6126.0
003fbfa0,2014,4,3,5091.25
003fbfa0,2015,3,2,7213.333333333333
003fbfa0,2016,5,4,5055.6
003fbfa0,2017,4,3,7658.5
003fbfa0,2018,3,2,6444.0
003fbfa0,2019,5,4,6586.2
003fbfa0,2020,5,4,8197.6
00443ad5,2010,3,3,3745.6666666666665
00443ad5,2011,5,5,6335.8
00443ad5,2012,3,3,5112.666666666667
00443ad5,2013,5,5,4826.2
00443ad5,2014,5,5,5877.4
00443ad5,2015,3,3,7288.666666666667
00443ad5,2016,5,4,5488.8
00443ad5,2017,3,3,5602.0
00443ad5,2018,4,4,7656.75
00443ad5,2019,4,4,7645.75
00443ad5,2020,3,3,5772.0
004f0206,2010,5,5,6535.0
004f0206,2011,4,4,5319.5
004f0206,2012,2,2,4463.0
004f0206,2013,4,4,5423.0
004f0206,2014,2,2,6606.0
004f0206,2015,5,5,4705.4
004f0206,2016,5,5,4379.6
004f0206,2017,4,4,7325.0
004f0206,2018,5,5,6626.8
004f0206,2019,5,5,4861.2
004f0206,2020,5,5,7400.0
00527f04,2010,5,5,2069.0
00527f04,2011,3,3,7098.666666666667
00527f04,2012,4,4,8723.75
00527f04,2013,3,3,4275.333333333333
00527f04,2014,5,5,5090.6
00527f04,2015,4,4,4599.0
00527f04,2016,4,4,5316.0
00527f04,2017,4,4,3060.0
00527f04,2018,5,5,6780.2
00527f04,2019,5,5,4429.2
00527f04,2020,3,3,4531.0
00530c42,2010,4,4,4234.75
00530c42,2011,4,4,4815.0
00530c42,2012,5,4,6450.2
00530c42,2013,3,2,4770.333333333333
00530c42,2014,5,4,6160.6
00530c42,2015,3,2,4574.0
00530c42,2016,5,4,4945.8
00530c42,2017,3,2,6287.666666666667
00530c42,2018,4,4,6451.75
00530c42,2019,5,5,5221.2
00530c42,2020,5,5,5189.2
0057d6b5,2010,4,4,3853.0
0057d6b5,2011,5,5,6162.0
0057d6b5,2012,3,3,2292.6666666666665
0057d6b5,2013,5,5,6679.4
0057d6b5,2014,4,4,6898.75
0057d6b5,2015,4,4,4866.5
0057d6b5,2016,4,4,4354.0
0057d6b5,2017,2,2,9358.0
0057d6b5,2018,4,4,4502.75
0057d6b5,2019,3,2,5929.666666666667
0057d6b5,2020,4,4,6493.5
0057e2cb,2010,3,3,5969.0
0057e2cb,2011,4,4,8176.25
0057e2cb,2012,4,4,5404.5
0057e2cb,2013,5,4,3832.6
0057e2cb,2014,5,4,4990.6
0057e2cb,2015,4,4,3944.5
0057e2cb,2016,4,4,5825.25
0057e2cb,2017,2,2,7687.0
0057e2cb,2018,5,5,5337.4
0057e2cb,2019,5,5,4161.2
0057e2cb,2020,5,5,4844.6
0059dde3,2010,5,5,5270.2
0059dde3,2011,4,4,6355.75
0059dde3,2012,3,3,5637.0
0059dde3,2013,2,2,4914.0
0059dde3,2014,3,3,6745.0
0059dde3,2015,5,5,5751.2
0059dde3,2016,5,5,6819.6
0059dde3,2017,4,4,5623.5
0059dde3,2018,5,5,3768.4
0059dde3,2019,3,3,5174.666666666667
0059dde3,2020,5,5,5152.0
005b6208,2010,4,3,7964.0
005b6208,2011,5,4,4990.6
005b6208,2012,5,4,7084.0
005b6208,2013,5,4,2423.8
005b6208,2014,3,2,3616.6666666666665
005b6208,2015,5,3,6412.8
005b6208,2016,3,1,3390.333333333333
005b6208,2017,5,3,4313.2
005b6208,2018,5,3,5018.8
005b6208,2019,5,3,3711.8
005b6208,2020,4,2,7813.5
00650caf,2010,3,3,7157.0
00650caf,2011,4,3,5620.5
00650caf,2012,5,3,3737.4
00650caf,2013,5,3,4369.8
00650caf,2014,3,2,6104.0
00650caf,2015,4,4,5847.5
00650caf,2016,5,5,5281.8
00650caf,2017,5,5,5718.0
00650caf,2018,4,4,5835.0
00650caf,2019,5,4,4043.4
00650caf,2020,4,4,4798.75
006c5d5e,2010,5,5,5326.8
006c5d5e,2011,5,5,6304.6
006c5d5e,2012,5,5,4233.6
006c5d5e,2013,3,3,6623.333333333333
006c5d5e,2014,4,4,5712.5
006c5d5e,2015,4,4,5338.5
006c5d5e,2016,4,4,5043.75
006c5d5e,2017,1,1,6759.0
006c5d5e,2018,5,5,7043.6
006c5d5e,2019,4,4,3116.5
006c5d5e,2020,4,4,5993.25
006f20e1,2010,5,5,5055.0
006f20e1,2011,5,5,5059.0
006f20e1,2012,3,3,6288.333333333333
006f20e1,2013,5,4,6912.0
006f20e1,2014,5,4,6010.0
006f20e1,2015,5,4,4466.4
006f20e1,2016,4,3,4317.75
006f20e1,2017,4,3,6368.25
006f20e1,2018,5,4,5428.4
006f20e1,2019,4,3,7315.75
006f20e1,2020,3,2,6223.0
00721713,2010,5,5,5367.8
00721713,2011,3,3,4547.0
00721713,2012,3,3,5789.666666666667
00721713,2013,4,4,4762.75
00721713,2014,4,4,2809.5
00721713,2015,4,4,5508.0
00721713,2016,5,5,3958.6
00721713,2017,4,4,2192.25
00721713,2018,4,4,3407.5
00721713,2019,5,4,5600.6
00721713,2020,4,4,7636.5
007adca0,2010,4,4,4362.75
007adca0,2011,5,4,5877.2
007adca0,2012,5,4,3558.8
007adca0,2013,5,4,7284.6
007adca0,2014,5,4,3860.2
007adca0,2015,4,3,4834.5
007adca0,2016,3,3,5549.333333333333
007adca0,2017,5,5,3883.4
007adca0,2018,5,5,6202.2
007adca0,2019,4,4,6658.25
007adca0,2020,4,3,5889.75
007fc2cd,2010,3,3,3407.6666666666665
007fc2cd,2011,3,3,5421.0
007fc2cd,2012,4,4,6069.75
007fc2cd,2013,4,4,6033.0
007fc2cd,2014,2,2,2170.5
007fc2cd,2015,5,5,4842.2
007fc2cd,2016,5,5,4389.8
007fc2cd,2017,4,4,6836.25
007fc2cd,2018,4,4,4594.0
007fc2cd,2019,4,4,5980.5
007fc2cd,2020,5,5,3433.6
008915e9,2010,4,4,4175.25
008915e9,2011,4,4,3043.25
008915e9,2012,5,5,5186.6
008915e9,2013,5,5,4910.2
008915e9,2014,4,4,6330.25
008915e9,2015,5,5,6760.2
008915e9,2016,3,3,7929.0
008915e9,2017,4,3,6781.0
008915e9,2018,4,3,5330.5
008915e9,2019,4,4,4867.0
008915e9,2020,5,5,4300.6
008bcb7e,2010,4,4,6421.75
008bcb7e,2011,3,2,7024.0
008bcb7e,2012,5,4,4758.0
008bcb7e,2013,5,4,5442.0
008bcb7e,2014,4,3,4227.5
008bcb7e,2015,5,4,7514.2
008bcb7e,2016,3,3,4173.0
008bcb7e,2017,5,5,5923.2
008bcb7e,2018,3,3,5301.666666666667
008bcb7e,2019,5,5,5253.8
008bcb7e,2020,3,3,4419.0
009228c8,2010,4,4,4748.0
009228c8,2011,4,4,6688.75
009228c8,2012,5,5,4761.8
009228c8,2013,3,3,9017.333333333334
009228c8,2014,3,3,7512.333333333333
009228c8,2015,4,4,3645.5
009228c8,2016,3,3,5779.666666666667
009228c8,2017,5,4,4551.6
009228c8,2018,5,4,6182.4
009228c8,2019,5,4,7123.8
009228c8,2020,3,3,5778.333333333333
0093b08f,2010,3,3,7294.0
0093b08f,2011,3,2,6192.333333333333
0093b08f,2012,4,4,6046.0
0093b08f,2013,5,5,3996.6
0093b08f,2014,4,4,7131.5
0093b08f,2015,4,4,5664.75
0093b08f,2016,5,5,4427.4
0093b08f,2017,4,4,5389.25
0093b08f,2018,4,4,4854.0
0093b08f,2019,4,4,2388.75
0093b08f,2020,4,4,7815.25
0098d70a,2010,5,4,4837.4
0098d70a,2011,5,4,5509.4
0098d70a,2012,3,2,5219.666666666667
0098d70a,2013,4,4,4093.25
0098d70a,2014,3,3,5167.0
0098d70a,2015,4,4,3518.5
0098d70a,2016,5,5,4289.8
0098d70a,2017,4,4,5726.25
0098d70a,2018,4,3,8556.0
0098d70a,2019,5,4,3913.8
0098d70a,2020,4,3,5407.25
