HUISHOUDNR,TYPHH,rinpersoon,PLHH,REFPERSOONHH,NUMBERPERSHH,DATUMAANVANGHH,DATUMEINDEHH,AANTALOVHH,AANTALKINDHH,AANTALPERSHH,EVENT,GEBJAARJONGSTEKINDHH,GEBMAANDJONGSTEKINDHH,GEBJAAROUDSTEKINDHH,GEBMAANDOUDSTEKINDHH
9beffcf1,couple without children,fe39c796,partner in couple without children,1,2,19900101,19910101,2,0,2,initiate,2015.0,01,2010.0,05
9beffcf1,couple without children,1f957d0a,partner in couple without children,1,2,19900101,19910101,2,0,2,initiate,2015.0,01,2010.0,05
21c9d5ea,couple with children,25945fe1,partner in couple with children,1,3,19900101,19910101,2,1,3,initiate,2015.0,01,2010.0,05
21c9d5ea,couple with children,64d6351a,partner in couple with children,1,3,19900101,19910101,2,1,3,initiate,2015.0,01,2010.0,05
21c9d5ea,couple with children,f66bd07d,child living at home,1,3,19900101,19910101,2,1,3,initiate,2015.0,01,2010.0,05
7af722cd,couple with children,e3ab7355,partner in couple with children,1,3,19900101,19910101,2,1,3,initiate,2015.0,01,2010.0,05
7af722cd,couple with children,b1d4b4ea,partner in couple with children,1,3,19900101,19910101,2,1,3,initiate,2015.0,01,2010.0,05
7af722cd,couple with children,a6cb9e02,child living at home,1,3,19900101,19910101,2,1,3,initiate,2015.0,01,2010.0,05
c82a74dd,couple with children,efc5ee8a,partner in couple with children,1,5,19900101,19910101,2,3,5,initiate,2015.0,01,2010.0,05
c82a74dd,couple with children,f27f522b,partner in couple with children,1,5,19900101,19910101,2,3,5,initiate,2015.0,01,2010.0,05
c82a74dd,couple with children,a72011df,child living at home,1,5,19900101,19910101,2,3,5,initiate,2015.0,01,2010.0,05
c82a74dd,couple with children,07247b4b,child living at home,1,5,19900101,19910101,2,3,5,initiate,2015.0,01,2010.0,05
c82a74dd,couple with children,cf27b25f,child living at home,1,5,19900101,19910101,2,3,5,initiate,2015.0,01,2010.0,05
ac225e22,couple without children,33c98519,partner in couple without children,0,2,19900101,19910101,2,0,2,initiate,2015.0,01,2010.0,05
ac225e22,couple without children,3e601f2e,partner in couple without children,0,2,19900101,19910101,2,0,2,initiate,2015.0,01,2010.0,05
bd209d32,couple without children,533654ea,partner in couple without children,1,2,19900101,19910101,2,0,2,initiate,2015.0,01,2010.0,05
bd209d32,couple without children,4fedb307,partner in couple without children,1,2,19900101,19910101,2,0,2,initiate,2015.0,01,2010.0,05
7fa5ced4,single person household,5862e823,single person,1,1,19900101,19910101,1,0,1,initiate,,--,,--
d78bbc12,single person household,cf0c2467,single person,1,1,19900101,19910101,1,0,1,initiate,,--,,--
3816231a,single parent household,9b2f17bb,parent in single parent household,1,4,19900101,19910101,1,3,4,initiate,,--,,--
3816231a,single parent household,16acbfc8,child living at home,1,4,19900101,19910101,1,3,4,initiate,,--,,--
3816231a,single parent household,cbff6152,child living at home,1,4,19900101,19910101,1,3,4,initiate,,--,,--
3816231a,single parent household,82e1ce7a,child living at home,1,4,19900101,19910101,1,3,4,initiate,,--,,--
04e5944d,single person household,50d58885,single person,0,1,19900101,19910101,1,0,1,initiate,,--,,--
0d46e62f,couple without children,11e04034,partner in couple without children,1,2,19900101,19910101,2,0,2,initiate,2015.0,01,2010.0,05
0d46e62f,couple without children,a91f9d76,partner in couple without children,1,2,19900101,19910101,2,0,2,initiate,2015.0,01,2010.0,05
7ee1ecf1,single parent household,39e64633,parent in single parent household,0,4,19900101,19910101,1,3,4,initiate,,--,,--
7ee1ecf1,single parent household,9e8fc8b7,child living at home,0,4,19900101,19910101,1,3,4,initiate,,--,,--
7ee1ecf1,single parent household,067389ea,child living at home,0,4,19900101,19910101,1,3,4,initiate,,--,,--
7ee1ecf1,single parent household,29229592,child living at home,0,4,19900101,19910101,1,3,4,initiate,,--,,--
357a5769,couple with children,20d3aa2e,partner in couple with children,0,4,19900101,19910101,2,2,4,initiate,2015.0,01,2010.0,05
357a5769,couple with children,37d7167b,partner in couple with children,0,4,19900101,19910101,2,2,4,initiate,2015.0,01,2010.0,05
357a5769,couple with children,259caa58,child living at home,0,4,19900101,19910101,2,2,4,initiate,2015.0,01,2010.0,05
357a5769,couple with children,4cf2fee0,child living at home,0,4,19900101,19910101,2,2,4,initiate,2015.0,01,2010.0,05
61b22bf8,couple without children,f9d0f39d,partner in couple without children,1,2,19900101,19910101,2,0,2,initiate,2015.0,01,2010.0,05
61b22bf8,couple without children,f82c9e23,partner in couple without children,1,2,19900101,19910101,2,0,2,initiate,2015.0,01,2010.0,05
5a10c350,couple with children,b9093f49,partner in couple with children,1,3,19900101,19910101,2,1,3,initiate,2015.0,01,2010.0,05
5a10c350,couple with children,5d929a96,partner in couple with children,1,3,19900101,19910101,2,1,3,initiate,2015.0,01,2010.0,05
5a10c350,couple with children,cec2f1f9,child living at home,1,3,19900101,19910101,2,1,3,initiate,2015.0,01,2010.0,05
ec928071,couple with children,e93913d8,partner in couple with children,1,4,19900101,19910101,2,2,4,initiate,2015.0,01,2010.0,05
ec928071,couple with children,37f73e07,partner in couple with children,1,4,19900101,19910101,2,2,4,initiate,2015.0,01,2010.0,05
ec928071,couple with children,f6f7bcbe,child living at home,1,4,19900101,19910101,2,2,4,initiate,2015.0,01,2010.0,05
ec928071,couple with children,86b9d903,child living at home,1,4,19900101,19910101,2,2,4,initiate,2015.0,01,2010.0,05
bd178331,couple without children,e83ead6a,partner in couple without children,0,2,19900101,19910101,2,0,2,initiate,2015.0,01,2010.0,05
bd178331,couple without children,2f3d2dc6,partner in couple without children,0,2,19900101,19910101,2,0,2,initiate,2015.0,01,2010.0,05
9827587c,single parent household,fe040e2e,parent in single parent household,0,2,19900101,19910101,1,1,2,initiate,,--,,--
9827587c,single parent household,e75cb40c,child living at home,0,2,19900101,19910101,1,1,2,initiate,,--,,--
b41d8223,single person household,d452d84f,single person,0,1,19900101,19910101,1,0,1,initiate,,--,,--
3f409123,couple with children,106922f7,partner in couple with children,1,3,19900101,19910101,2,1,3,initiate,2015.0,01,2010.0,05
3f409123,couple with children,dce5cb69,partner in couple with children,1,3,19900101,19910101,2,1,3,initiate,2015.0,01,2010.0,05
3f409123,couple with children,84298725,child living at home,1,3,19900101,19910101,2,1,3,initiate,2015.0,01,2010.0,05
31b49050,couple without children,eb8b1c67,partner in couple without children,0,2,19900101,19910101,2,0,2,initiate,2015.0,01,2010.0,05
31b49050,couple without children,7f5fa872,partner in couple without children,0,2,19900101,19910101,2,0,2,initiate,2015.0,01,2010.0,05
48123190,couple without children,a55645c4,partner in couple without children,0,2,19900101,19910101,2,0,2,initiate,2015.0,01,2010.0,05
48123190,couple without children,dfb62c53,partner in couple without children,0,2,19900101,19910101,2,0,2,initiate,2015.0,01,2010.0,05
9cd85f3e,single parent household,70a78670,parent in single parent household,0,3,19900101,19910101,1,2,3,initiate,,--,,--
9cd85f3e,single parent household,977a44ee,child living at home,0,3,19900101,19910101,1,2,3,initiate,,--,,--
9cd85f3e,single parent household,b42cd849,child living at home,0,3,19900101,19910101,1,2,3,initiate,,--,,--
1cc1c18f,single parent household,d766669a,parent in single parent household,0,2,19900101,19910101,1,1,2,initiate,,--,,--
1cc1c18f,single parent household,94f5a5fb,child living at home,0,2,19900101,19910101,1,1,2,initiate,,--,,--
6529d7eb,couple without children,c2a79bc6,partner in couple without children,1,2,19900101,19910101,2,0,2,initiate,2015.0,01,2010.0,05
6529d7eb,couple without children,7b9e6bd4,partner in couple without children,1,2,19900101,19910101,2,0,2,initiate,2015.0,01,2010.0,05
60c75e5e,single parent household,efe9f98d,parent in single parent household,1,2,19900101,19910101,1,1,2,initiate,,--,,--
60c75e5e,single parent household,aa764da3,child living at home,1,2,19900101,19910101,1,1,2,initiate,,--,,--
eff40c23,couple with children,3e851631,partner in couple with children,1,5,19900101,19910101,2,3,5,initiate,2015.0,01,2010.0,05
eff40c23,couple with children,df216ad9,partner in couple with children,1,5,19900101,19910101,2,3,5,initiate,2015.0,01,2010.0,05
eff40c23,couple with children,78a7c4bb,child living at home,1,5,19900101,19910101,2,3,5,initiate,2015.0,01,2010.0,05
eff40c23,couple with children,41faab75,child living at home,1,5,19900101,19910101,2,3,5,initiate,2015.0,01,2010.0,05
eff40c23,couple with children,e0b5f2bf,child living at home,1,5,19900101,19910101,2,3,5,initiate,2015.0,01,2010.0,05
c2ecfab2,single person household,56f76493,single person,0,1,19900101,19910101,1,0,1,initiate,,--,,--
2c1a8627,couple with children,75390589,partner in couple with children,0,5,19900101,19910101,2,3,5,initiate,2015.0,01,2010.0,05
2c1a8627,couple with children,dc791a97,partner in couple with children,0,5,19900101,19910101,2,3,5,initiate,2015.0,01,2010.0,05
2c1a8627,couple with children,0e88241a,child living at home,0,5,19900101,19910101,2,3,5,initiate,2015.0,01,2010.0,05
2c1a8627,couple with children,96a78941,child living at home,0,5,19900101,19910101,2,3,5,initiate,2015.0,01,2010.0,05
2c1a8627,couple with children,f590e3d4,child living at home,0,5,19900101,19910101,2,3,5,initiate,2015.0,01,2010.0,05
dde5f14d,single person household,f1f18294,single person,0,1,19900101,19910101,1,0,1,initiate,,--,,--
59df784f,couple without children,67f4c187,partner in couple without children,1,2,19900101,19910101,2,0,2,initiate,2015.0,01,2010.0,05
59df784f,couple without children,55547d7b,partner in couple without children,1,2,19900101,19910101,2,0,2,initiate,2015.0,01,2010.0,05
e83f5068,single parent household,c52d2368,parent in single parent household,0,2,19900101,19910101,1,1,2,initiate,,--,,--
e83f5068,single parent household,dc2bd5fa,child living at home,0,2,19900101,19910101,1,1,2,initiate,,--,,--
c3ddbd7f,single person household,ba500dc3,single person,1,1,19900101,19910101,1,0,1,initiate,,--,,--
28c4a38f,single person household,b9410abf,single person,0,1,19900101,19910101,1,0,1,initiate,,--,,--
b96650d1,couple with children,c5cd865d,partner in couple with children,0,3,19900101,19910101,2,1,3,initiate,2015.0,01,2010.0,05
b96650d1,couple with children,0bbdc31e,partner in couple with children,0,3,19900101,19910101,2,1,3,initiate,2015.0,01,2010.0,05
b96650d1,couple with children,ec314f5b,child living at home,0,3,19900101,19910101,2,1,3,initiate,2015.0,01,2010.0,05
e9f7737a,couple with children,aae1b438,partner in couple with children,1,3,19900101,19910101,2,1,3,initiate,2015.0,01,2010.0,05
e9f7737a,couple with children,9bc10f20,partner in couple with children,1,3,19900101,19910101,2,1,3,initiate,2015.0,01,2010.0,05
e9f7737a,couple with children,6a1a471d,child living at home,1,3,19900101,19910101,2,1,3,initiate,2015.0,01,2010.0,05
075306ff,single parent household,bf08b9ac,parent in single parent household,0,3,19900101,19910101,1,2,3,initiate,,--,,--
075306ff,single parent household,44bccd96,child living at home,0,3,19900101,19910101,1,2,3,initiate,,--,,--
075306ff,single parent household,c90f6c47,child living at home,0,3,19900101,19910101,1,2,3,initiate,,--,,--
415c9ccc,couple with children,ebfae55e,partner in couple with children,0,3,19900101,19910101,2,1,3,initiate,2015.0,01,2010.0,05
415c9ccc,couple with children,44e758fd,partner in couple with children,0,3,19900101,19910101,2,1,3,initiate,2015.0,01,2010.0,05
415c9ccc,couple with children,fd45d76d,child living at home,0,3,19900101,19910101,2,1,3,initiate,2015.0,01,2010.0,05
a2ed8ab0,couple with children,e470e73f,partner in couple with children,0,4,19900101,19910101,2,2,4,initiate,2015.0,01,2010.0,05
a2ed8ab0,couple with children,63b2eb58,partner in couple with children,0,4,19900101,19910101,2,2,4,initiate,2015.0,01,2010.0,05
a2ed8ab0,couple with children,116d9381,child living at home,0,4,19900101,19910101,2,2,4,initiate,2015.0,01,2010.0,05
a2ed8ab0,couple with children,0c2b5e2e,child living at home,0,4,19900101,19910101,2,2,4,initiate,2015.0,01,2010.0,05
ecbb0a92,single person household,b4ed114a,single person,1,1,19900101,19910101,1,0,1,initiate,,--,,--
dc7b583b,single parent household,a0d71700,parent in single parent household,0,4,19900101,19910101,1,3,4,initiate,,--,,--
dc7b583b,single parent household,7aff1b4a,child living at home,0,4,19900101,19910101,1,3,4,initiate,,--,,--
dc7b583b,single parent household,ecbb618d,child living at home,0,4,19900101,19910101,1,3,4,initiate,,--,,--
dc7b583b,single parent household,aeab816e,child living at home,0,4,19900101,19910101,1,3,4,initiate,,--,,--
543c5767,couple without children,f383529b,partner in couple without children,1,2,19900101,19910101,2,0,2,initiate,2015.0,01,2010.0,05
