,HOUSEKEEPING_NR,TYPHH,rinpersoon,PLHH,REFPERSOONHH,NUMBERPERSHH,DATE_STIRTHH,DATUMEINDEHH,AANTALOVHH,AANTALKINDHH,BIRTHEDYOUNGCHILDHH,GEBMAANDJONGSTEKINDHH,GEBJAAROUDSTEKINDHH,BMAANDOUDSTEKINDHH
0,d51322ef,single person household,71ed4a86,single person,0,1,1990-01-01,1991-01-01,1,0,,--,,--
0,62fe1928,single person household,2ed687a6,single person,0,1,1990-01-01,1991-01-01,1,0,,--,,--
0,5e5f17bb,single person household,62e811bb,single person,0,1,1990-01-01,1991-01-01,1,0,,--,,--
0,ec41be7d,couple with children,cc883317,partner in couple with children,0,3,1990-01-01,1991-01-01,2,1,2015.0,01,2010.0,05
1,ec41be7d,couple with children,b8b85917,partner in couple with children,0,3,1990-01-01,1991-01-01,2,1,2015.0,01,2010.0,05
2,ec41be7d,couple with children,63d409b8,child living at home,0,3,1990-01-01,1991-01-01,2,1,2015.0,01,2010.0,05
0,e94bc627,single parent household,cc497336,parent in single parent household,1,2,1990-01-01,1991-01-01,1,1,,--,,--
1,e94bc627,single parent household,55a4503d,child living at home,1,2,1990-01-01,1991-01-01,1,1,,--,,--
0,d24d2d17,single person household,c32be144,single person,1,1,1990-01-01,1991-01-01,1,0,,--,,--
0,36360839,single person household,9c1c5278,single person,1,1,1990-01-01,1991-01-01,1,0,,--,,--
0,08af5dc9,single parent household,1206949c,parent in single parent household,0,4,1990-01-01,1991-01-01,1,3,,--,,--
1,08af5dc9,single parent household,d17ac422,child living at home,0,4,1990-01-01,1991-01-01,1,3,,--,,--
2,08af5dc9,single parent household,afb1d667,child living at home,0,4,1990-01-01,1991-01-01,1,3,,--,,--
3,08af5dc9,single parent household,e3e7553d,child living at home,0,4,1990-01-01,1991-01-01,1,3,,--,,--
0,ddeecec6,single parent household,254f7859,parent in single parent household,1,2,1990-01-01,1991-01-01,1,1,,--,,--
1,ddeecec6,single parent household,66e9ba2b,child living at home,1,2,1990-01-01,1991-01-01,1,1,,--,,--
0,1226ed24,single parent household,30197924,parent in single parent household,0,4,1990-01-01,1991-01-01,1,3,,--,,--
1,1226ed24,single parent household,f99b413e,child living at home,0,4,1990-01-01,1991-01-01,1,3,,--,,--
2,1226ed24,single parent household,caffcfd9,child living at home,0,4,1990-01-01,1991-01-01,1,3,,--,,--
3,1226ed24,single parent household,be0a58d4,child living at home,0,4,1990-01-01,1991-01-01,1,3,,--,,--
0,c6187a91,couple with children,b8432ead,partner in couple with children,1,3,1990-01-01,1991-01-01,2,1,2015.0,01,2010.0,05
1,c6187a91,couple with children,c15e4cb4,partner in couple with children,1,3,1990-01-01,1991-01-01,2,1,2015.0,01,2010.0,05
2,c6187a91,couple with children,4bfb08e0,child living at home,1,3,1990-01-01,1991-01-01,2,1,2015.0,01,2010.0,05
0,e16d39e3,couple with children,461f62ba,partner in couple with children,1,4,1990-01-01,1991-01-01,2,2,2015.0,01,2010.0,05
1,e16d39e3,couple with children,36677213,partner in couple with children,1,4,1990-01-01,1991-01-01,2,2,2015.0,01,2010.0,05
