rinpersoon,GBAGEBOORTELAND,GBAGESLACHT,GBAGEBOORTELANDMOEDER,GBAGEBOORTELANDVADER,GBAAANTALOUDERSBUITENLAND,GBAHERKOMSTGROEPERING,GBAGENERATIE,GBAGEBOORTEJAAR,GBAGESLACHTMOEDER,GBAGESLACHTVADER,GBAGEBOORTEJAARMOEDER,GBAGEBOORTEJAARVADER,GBAHERKOMSTLAND,GBAGEBOORTELANDNL
0006861b,NL,1,NL,NL,0,Western,0,1984,2,1,1945,1953,NL,1
0009f3ff,NL,2,NL,NL,0,Western,0,1987,2,1,1950,1953,NL,1
0014ef1c,France,2,France,NL,1,Western,1,1954,2,1,1915,1928,France,0
001c3628,NL,1,France,NL,1,Western,1,1980,2,1,1957,1945,NL,1
0022efe0,NL,2,US,France,2,Western,1,1963,2,1,1931,1943,NL,1
003fbfa0,NL,2,NL,France,1,Western,2,1968,2,1,1939,1938,NL,1
00443ad5,NL,2,NL,NL,0,Western,2,1993,2,1,1965,1963,NL,1
004f0206,NL,1,NL,NL,0,Western,1,1984,2,1,1953,1950,NL,1
00527f04,NL,1,NL,NL,0,Western,0,1952,2,1,1920,1928,NL,1
00530c42,NL,2,NL,NL,0,Western,0,1987,2,1,1966,1956,NL,1
0057d6b5,NL,2,NL,NL,0,Western,1,1987,2,1,1958,1958,NL,1
0057e2cb,NL,2,NL,France,1,Western,1,1985,2,1,1959,1963,NL,1
0059dde3,NL,2,France,NL,1,Western,2,1960,2,1,1938,1925,NL,1
005b6208,NL,1,NL,NL,0,Western,1,1986,2,1,1962,1961,NL,1
00650caf,NL,2,NL,NL,0,Western,2,1959,2,1,1928,1927,NL,1
006c5d5e,NL,2,NL,NL,0,Western,0,1970,2,1,1935,1932,NL,1
006f20e1,NL,1,NL,NL,0,Western,1,1958,2,1,1937,1933,NL,1
00721713,Egypt,2,NL,NL,0,Non-Western,1,1980,2,1,1946,1949,Egypt,0
007adca0,NL,1,NL,NL,0,Western,1,1984,2,1,1957,1955,NL,1
007fc2cd,NL,1,NL,NL,0,Western,1,1998,2,1,1969,1972,NL,1
008915e9,NL,2,NL,NL,0,Western,1,1990,2,1,1956,1952,NL,1
008bcb7e,NL,2,NL,NL,0,Western,1,1996,2,1,1957,1973,NL,1
009228c8,NL,1,NL,NL,0,Western,1,1992,2,1,1962,1970,NL,1
0093b08f,NL,2,France,NL,1,Western,2,1994,2,1,1972,1966,NL,1
0098d70a,NL,1,NL,NL,0,Western,2,1959,2,1,1939,1928,NL,1
009994c9,NL,2,NL,NL,0,Western,0,1999,2,-,1962,1968,NL,1
00a05037,NL,1,NL,NL,0,Western,2,1997,2,1,1970,1959,NL,1
00a19f6a,NL,1,NL,NL,0,Western,0,1958,2,1,1933,1919,NL,1
00a2cd32,NL,2,NL,NL,0,Western,1,1988,2,1,1966,1949,NL,1
00a50ca8,NL,2,NL,NL,0,Western,0,1997,2,1,1973,1965,NL,1
00a579d8,NL,1,NL,France,1,Western,-,1991,2,1,1954,1959,NL,1
00acd53c,NL,1,NL,NL,0,Western,0,1995,2,1,1972,1960,NL,1
00b56f85,NL,2,NL,Egypt,1,Western,2,1958,2,1,1933,1921,NL,1
00b7d201,NL,1,NL,NL,0,Western,2,1987,2,1,1952,1960,NL,1
00b99b31,NL,2,NL,NL,0,Western,1,1956,2,1,1917,1922,NL,1
00c1aa6c,NL,2,NL,NL,0,Western,2,1991,2,1,1955,1960,NL,1
00ca0e25,NL,1,NL,NL,0,Western,1,1964,2,1,1930,1928,NL,1
00ca36fe,France,2,NL,NL,0,Western,2,1987,2,1,1963,1953,France,0
00cb281d,NL,2,NL,NL,0,Western,0,1982,2,1,1944,1945,NL,1
00cd2c1a,NL,1,NL,NL,0,Western,0,1993,2,1,1968,1967,NL,1
00d2f8a7,NL,2,NL,NL,0,Western,2,1986,2,1,1956,1954,NL,1
00dd5e7a,France,2,NL,NL,0,Western,2,1982,2,1,1960,1945,France,0
00de5278,NL,1,NL,NL,0,Western,1,1970,2,1,1937,1940,NL,1
00de943a,NL,1,NL,Egypt,1,Western,1,1958,2,1,1919,1929,NL,1
00e1ae12,US,1,NL,NL,0,Western,1,1950,2,1,1917,1916,US,0
00e4acd0,Egypt,1,France,NL,1,Non-Western,2,1956,2,1,1928,1936,Egypt,0
00e8e9b6,NL,2,NL,NL,0,Western,0,1960,1,1,1935,1925,NL,1
00ec362f,NL,2,NL,US,1,Western,1,1991,2,1,1955,1956,NL,1
00ed35f8,NL,2,NL,NL,0,Western,0,1950,2,1,1925,1916,NL,1
00f3036b,NL,1,France,NL,1,Western,0,1954,2,1,1922,1928,NL,1
00f4d6cb,NL,1,NL,NL,0,Western,2,1981,2,1,1951,1959,NL,1
00f8d405,France,1,NL,NL,0,Western,1,1960,2,1,1937,1924,France,0
00fe71ba,NL,1,NL,NL,0,Western,0,1988,2,1,1961,1967,NL,1
01030496,NL,2,NL,NL,0,Western,1,1995,2,1,1966,1962,NL,1
0108659d,NL,2,NL,NL,0,Western,2,1957,2,1,1937,1918,NL,1
01087c09,NL,1,NL,NL,0,Western,1,1982,2,1,1962,1947,NL,1
010f7508,NL,2,NL,NL,0,Western,2,1997,2,1,1968,1971,NL,1
011073ee,NL,2,NL,NL,0,Western,1,1967,2,1,1942,1942,NL,1
0111e9de,US,1,NL,NL,0,Western,1,1966,2,1,1935,1940,US,0
0119f3a6,NL,1,NL,NL,0,Western,0,1962,2,1,1934,1923,NL,1
011a63b4,NL,2,NL,NL,0,Western,0,1980,2,1,1956,1949,NL,1
011b4848,NL,1,NL,NL,0,Western,1,1981,2,1,1952,1942,NL,1
012ac48b,NL,1,NL,NL,0,Western,0,1968,2,1,1937,1942,NL,1
012c7ac3,NL,1,NL,NL,0,Western,0,1966,2,1,1936,1935,NL,1
013a0367,NL,2,Egypt,NL,1,Western,1,1992,2,1,1971,1970,NL,1
013e2a06,NL,2,NL,NL,0,Western,1,1962,2,1,1938,1933,NL,1
0144a511,NL,2,NL,France,1,Western,1,1969,2,1,1943,1948,NL,1
01514dd6,NL,1,France,NL,1,Western,1,1954,2,1,1926,1932,NL,1
01535ca4,NL,2,NL,NL,0,Western,1,1988,2,1,1950,1955,NL,1
0154fc64,France,1,NL,NL,0,Western,2,1985,2,1,1963,1951,France,0
01552407,NL,1,NL,NL,0,Western,0,1983,2,-,1949,1951,NL,1
015b01db,NL,1,NL,France,1,Western,2,1988,2,1,1954,1964,NL,1
