rinpersoon,education_level,GBAGEBOORTEJAAR,OPLNIVSOI2016AGG4HBMETNIRWO,OPLNIVSOI2016AGG4HGMETNIRWO,RICHTdetailISCEDF2013HBmetNIRWO,RICHTdetailISCEDF2013HGmetNIRWO,OPLNIVSOI2021AGG4HBmetNIRWO,OPLNIVSOI2021AGG4HGmetNIRWO,RICHTSOI2021SCEDF2013HBNIRWO,RICHTSOI2021SCEDF2013HGNIRWO,year
0006861b,4.0,1987,-,-,-,-,-,-,-,-,2010
9d389a2d,2.0,1997,-,-,-,-,-,-,-,-,2010
9d3fd5a4,11.0,1984,-,-,-,-,-,-,-,-,2010
9d465d76,12.0,1984,-,-,-,-,-,-,-,-,2010
9d4e8650,10.0,1991,-,-,-,-,-,-,-,-,2010
9d530133,14.0,1963,-,-,-,-,-,-,-,-,2010
9d653b4d,14.0,1980,-,-,-,-,-,-,-,-,2010
9d6596f1,3.0,1985,-,-,-,-,-,-,-,-,2010
9d66cdfd,14.0,1969,-,-,-,-,-,-,-,-,2010
9d6d1adc,1.0,1956,-,-,-,-,-,-,-,-,2010
9d6dbc6d,3.0,1997,-,-,-,-,-,-,-,-,2010
9d71e8f7,13.0,1984,-,-,-,-,-,-,-,-,2010
9d88900e,2.0,1994,-,-,-,-,-,-,-,-,2010
9d89fd48,3.0,1955,-,-,-,-,-,-,-,-,2010
9d8aa3f4,8.0,1985,-,-,-,-,-,-,-,-,2010
9d8dd256,8.0,1959,-,-,-,-,-,-,-,-,2010
9da5b3f0,11.0,1986,-,-,-,-,-,-,-,-,2010
9dad1e4b,17.0,1985,-,-,-,-,-,-,-,-,2010
9db377bc,1.0,1952,-,-,-,-,-,-,-,-,2010
9dbabb12,8.0,1966,-,-,-,-,-,-,-,-,2010
9dbb23f3,11.0,1982,-,-,-,-,-,-,-,-,2010
9dbec167,14.0,1998,-,-,-,-,-,-,-,-,2010
9dcc2070,7.0,1992,-,-,-,-,-,-,-,-,2010
9dd19f33,16.0,1966,-,-,-,-,-,-,-,-,2010
