HOUSEKEEPING_NR,TYPHH,rinpersoon,PLHH,REFPERSOONHH,NUMBERPERSHH,DATE_STIRTHH,DATUMEINDEHH,AANTALOVHH,AANTALKINDHH,EVENT,BIRTHEDYOUNGCHILDHH,GEBMAANDJONGSTEKINDHH,GEBJAAROUDSTEKINDHH,BMAANDOUDSTEKINDHH
d51322ef,couple with children,71ed4a86,partner in couple with children,1,5,1990-01-01,1991-01-01,2,3,initiate,2015.0,01,2010.0,05
d51322ef,couple with children,2ed687a6,partner in couple with children,1,5,1990-01-01,1991-01-01,2,3,initiate,2015.0,01,2010.0,05
d51322ef,couple with children,62e811bb,child living at home,1,5,1990-01-01,1991-01-01,2,3,initiate,2015.0,01,2010.0,05
d51322ef,couple with children,cc883317,child living at home,1,5,1990-01-01,1991-01-01,2,3,initiate,2015.0,01,2010.0,05
d51322ef,couple with children,b8b85917,child living at home,1,5,1990-01-01,1991-01-01,2,3,initiate,2015.0,01,2010.0,05
62fe1928,single person household,63d409b8,single person,1,1,1990-01-01,1991-01-01,1,0,initiate,,--,,--
5e5f17bb,couple with children,cc497336,partner in couple with children,0,4,1990-01-01,1991-01-01,2,2,initiate,2015.0,01,2010.0,05
5e5f17bb,couple with children,55a4503d,partner in couple with children,0,4,1990-01-01,1991-01-01,2,2,initiate,2015.0,01,2010.0,05
5e5f17bb,couple with children,c32be144,child living at home,0,4,1990-01-01,1991-01-01,2,2,initiate,2015.0,01,2010.0,05
5e5f17bb,couple with children,9c1c5278,child living at home,0,4,1990-01-01,1991-01-01,2,2,initiate,2015.0,01,2010.0,05
ec41be7d,single parent household,1206949c,parent in single parent household,0,3,1990-01-01,1991-01-01,1,2,initiate,,--,,--
ec41be7d,single parent household,d17ac422,child living at home,0,3,1990-01-01,1991-01-01,1,2,initiate,,--,,--
ec41be7d,single parent household,afb1d667,child living at home,0,3,1990-01-01,1991-01-01,1,2,initiate,,--,,--
e94bc627,couple with children,e3e7553d,partner in couple with children,0,4,1990-01-01,1991-01-01,2,2,initiate,2015.0,01,2010.0,05
e94bc627,couple with children,254f7859,partner in couple with children,0,4,1990-01-01,1991-01-01,2,2,initiate,2015.0,01,2010.0,05
e94bc627,couple with children,66e9ba2b,child living at home,0,4,1990-01-01,1991-01-01,2,2,initiate,2015.0,01,2010.0,05
e94bc627,couple with children,30197924,child living at home,0,4,1990-01-01,1991-01-01,2,2,initiate,2015.0,01,2010.0,05
d24d2d17,couple with children,f99b413e,partner in couple with children,0,5,1990-01-01,1991-01-01,2,3,initiate,2015.0,01,2010.0,05
d24d2d17,couple with children,caffcfd9,partner in couple with children,0,5,1990-01-01,1991-01-01,2,3,initiate,2015.0,01,2010.0,05
d24d2d17,couple with children,be0a58d4,child living at home,0,5,1990-01-01,1991-01-01,2,3,initiate,2015.0,01,2010.0,05
d24d2d17,couple with children,b8432ead,child living at home,0,5,1990-01-01,1991-01-01,2,3,initiate,2015.0,01,2010.0,05
d24d2d17,couple with children,c15e4cb4,child living at home,0,5,1990-01-01,1991-01-01,2,3,initiate,2015.0,01,2010.0,05
36360839,couple without children,4bfb08e0,partner in couple without children,0,2,1990-01-01,1991-01-01,2,0,initiate,2015.0,01,2010.0,05
36360839,couple without children,461f62ba,partner in couple without children,0,2,1990-01-01,1991-01-01,2,0,initiate,2015.0,01,2010.0,05
08af5dc9,couple without children,36677213,partner in couple without children,0,2,1990-01-01,1991-01-01,2,0,initiate,2015.0,01,2010.0,05
08af5dc9,couple without children,c2d3fb66,partner in couple without children,0,2,1990-01-01,1991-01-01,2,0,initiate,2015.0,01,2010.0,05
ddeecec6,single person household,120a256a,single person,1,1,1990-01-01,1991-01-01,1,0,initiate,,--,,--
