HOUSEKEEPING_NR,TYPHH,rinpersoon,PLHH,REFPERSOONHH,NUMBERPERSHH,DATE_STIRTHH,DATUMEINDEHH,AANTALOVHH,AANTALKINDHH,BIRTHEDYOUNGCHILDHH,GEBMAANDJONGSTEKINDHH,GEBJAAROUDSTEKINDHH,BMAANDOUDSTEKINDHH
d51322ef,couple without children,71ed4a86,partner in couple without children,1,2,1990-01-01,1991-01-01,2,0,2015.0,01,2010.0,05
d51322ef,couple without children,2ed687a6,partner in couple without children,1,2,1990-01-01,1991-01-01,2,0,2015.0,01,2010.0,05
62fe1928,single person household,62e811bb,single person,1,1,1990-01-01,1991-01-01,1,0,,--,,--
5e5f17bb,single parent household,cc883317,parent in single parent household,1,2,1990-01-01,1991-01-01,1,1,,--,,--
5e5f17bb,single parent household,b8b85917,child living at home,1,2,1990-01-01,1991-01-01,1,1,,--,,--
ec41be7d,couple with children,63d409b8,partner in couple with children,1,4,1990-01-01,1991-01-01,2,2,2015.0,01,2010.0,05
ec41be7d,couple with children,cc497336,partner in couple with children,1,4,1990-01-01,1991-01-01,2,2,2015.0,01,2010.0,05
ec41be7d,couple with children,55a4503d,child living at home,1,4,1990-01-01,1991-01-01,2,2,2015.0,01,2010.0,05
ec41be7d,couple with children,c32be144,child living at home,1,4,1990-01-01,1991-01-01,2,2,2015.0,01,2010.0,05
e94bc627,couple with children,9c1c5278,partner in couple with children,0,5,1990-01-01,1991-01-01,2,3,2015.0,01,2010.0,05
e94bc627,couple with children,1206949c,partner in couple with children,0,5,1990-01-01,1991-01-01,2,3,2015.0,01,2010.0,05
e94bc627,couple with children,d17ac422,child living at home,0,5,1990-01-01,1991-01-01,2,3,2015.0,01,2010.0,05
e94bc627,couple with children,afb1d667,child living at home,0,5,1990-01-01,1991-01-01,2,3,2015.0,01,2010.0,05
e94bc627,couple with children,e3e7553d,child living at home,0,5,1990-01-01,1991-01-01,2,3,2015.0,01,2010.0,05
d24d2d17,couple with children,254f7859,partner in couple with children,1,5,1990-01-01,1991-01-01,2,3,2015.0,01,2010.0,05
d24d2d17,couple with children,66e9ba2b,partner in couple with children,1,5,1990-01-01,1991-01-01,2,3,2015.0,01,2010.0,05
d24d2d17,couple with children,30197924,child living at home,1,5,1990-01-01,1991-01-01,2,3,2015.0,01,2010.0,05
d24d2d17,couple with children,f99b413e,child living at home,1,5,1990-01-01,1991-01-01,2,3,2015.0,01,2010.0,05
d24d2d17,couple with children,caffcfd9,child living at home,1,5,1990-01-01,1991-01-01,2,3,2015.0,01,2010.0,05
36360839,single person household,be0a58d4,single person,0,1,1990-01-01,1991-01-01,1,0,,--,,--
08af5dc9,single person household,b8432ead,single person,0,1,1990-01-01,1991-01-01,1,0,,--,,--
ddeecec6,single person household,c15e4cb4,single person,0,1,1990-01-01,1991-01-01,1,0,,--,,--
1226ed24,single person household,4bfb08e0,single person,1,1,1990-01-01,1991-01-01,1,0,,--,,--
c6187a91,couple without children,461f62ba,partner in couple without children,1,2,1990-01-01,1991-01-01,2,0,2015.0,01,2010.0,05
c6187a91,couple without children,36677213,partner in couple without children,1,2,1990-01-01,1991-01-01,2,0,2015.0,01,2010.0,05
