rinpersoon,GBAGEBOORTELAND,GBAGESLACHT,GBAGEBOORTELANDMOEDER,GBAGEBOORTELANDVADER,GBAAANTALOUDERSBUITENLAND,GBAHERKOMSTGROEPERING,GBAGENERATIE,GBAGEBOORTEJAAR,GBAGESLACHTMOEDER,GBAGESLACHTVADER,GBAGEBOORTEJAARMOEDER,GBAGEBOORTEJAARVADER,GBAHERKOMSTLAND,GBAGEBOORTELANDNL,birthday
028d61a1,NL,2,NL,NL,0,Western,0,1997,2,1,1965,1976,NL,1,1997
02dae9b3,NL,1,NL,NL,0,Western,2,1990,2,1,1964,1961,NL,1,1990
03c6605f,NL,1,NL,NL,0,Western,1,1987,2,1,1965,1967,NL,1,1987
04944dda,NL,1,NL,NL,0,Western,2,1964,2,1,1940,1939,NL,1,1964
057ba9b9,NL,2,NL,France,1,Western,1,1994,2,1,1960,1969,NL,1,1994
072ccdc5,NL,2,NL,NL,0,Western,0,1967,2,1,1935,1928,NL,1,1967
0793ae56,NL,1,NL,France,1,Western,0,1999,2,1,1975,1960,NL,1,1999
0889e4ba,NL,2,NL,France,1,Western,2,1991,2,1,1958,1971,NL,1,1991
09f7a651,NL,2,NL,NL,0,Western,1,1981,2,1,1949,1959,NL,1,1981
0b2f1798,NL,1,NL,NL,0,Western,0,1984,2,1,1946,1963,NL,1,1984
0cb80b58,NL,2,NL,US,1,Western,0,1982,2,1,1959,1959,NL,1,1982
0d302242,NL,1,NL,NL,0,Western,1,1957,2,1,1922,1934,NL,1,1957
0dd786a4,NL,2,NL,NL,0,Western,1,1996,1,1,1971,1963,NL,1,1996
0e30c262,NL,2,France,Egypt,2,Western,2,1980,2,1,1957,1955,NL,1,1980
0f66bec7,NL,2,France,NL,1,Western,1,1958,2,1,1937,1921,NL,1,1958
0fab8cd4,NL,1,NL,NL,0,Western,2,1951,2,1,1931,1926,NL,1,1951
11590e61,NL,1,France,NL,1,Western,0,1966,2,1,1939,1932,NL,1,1966
1206949c,NL,2,NL,NL,0,Western,2,1966,2,1,1936,1936,NL,1,1966
120a256a,NL,-,NL,France,1,Western,2,1967,2,1,1946,1938,NL,1,1967
13cf5fcd,NL,2,NL,NL,0,Western,1,1983,2,1,1958,1954,NL,1,1983
140ccda3,NL,1,NL,NL,0,Western,1,1981,2,1,1945,1954,NL,1,1981
1610981e,NL,-,NL,NL,0,Western,0,1958,2,1,1936,1925,NL,1,1958
16f92055,NL,2,NL,NL,0,Western,1,1967,2,1,1928,1941,NL,1,1967
17184c4d,NL,2,NL,Egypt,1,Western,1,1993,2,1,1962,1962,NL,1,1993
17250469,NL,2,NL,US,1,Western,0,1989,2,1,1953,1957,NL,1,1989
17f5c34f,NL,2,NL,NL,0,Western,1,1955,1,1,1925,1932,NL,1,1955
183ef5f3,NL,2,NL,NL,0,Western,2,1992,2,1,1958,1954,NL,1,1992
1907522b,NL,2,NL,NL,0,Western,2,1997,2,1,1967,1974,NL,1,1997
19fb8f76,NL,2,NL,NL,0,Western,0,1990,2,1,1951,1955,NL,1,1990
1a42e2e9,NL,1,France,NL,1,Western,0,1984,2,1,1958,1963,NL,1,1984
1a55e142,NL,2,NL,NL,0,Western,2,1985,2,1,1950,1960,NL,1,1985
1c0cf745,NL,1,NL,NL,0,Western,1,1961,2,1,1939,1938,NL,1,1961
1cefb90b,NL,2,France,France,2,Western,1,1958,2,1,1921,1921,NL,1,1958
1d4d2171,NL,2,NL,NL,0,Western,0,1980,2,1,1944,1944,NL,1,1980
1db438e4,NL,2,France,NL,1,Western,2,1995,2,1,1972,1975,NL,1,1995
1e5842ee,NL,2,NL,NL,0,Western,2,1954,2,1,1934,1930,NL,1,1954
1eb88f50,NL,1,NL,France,1,Western,1,1988,2,1,1957,1959,NL,1,1988
1ee23966,NL,2,NL,France,1,Western,1,1982,2,1,1952,1962,NL,1,1982
20196197,NL,1,NL,US,1,Western,1,1987,2,1,1954,1962,NL,1,1987
201b0565,NL,1,NL,NL,0,Western,2,1954,2,1,1920,1931,NL,1,1954
203f72e6,NL,2,NL,NL,0,Western,1,1952,2,1,1914,1925,NL,1,1952
2061558e,NL,2,US,NL,1,Western,2,1980,2,1,1951,1944,NL,1,1980
20a30672,NL,2,NL,NL,0,Western,1,1959,2,1,1923,1926,NL,1,1959
219f0ee6,NL,1,NL,France,1,Western,1,1997,2,1,1966,1976,NL,1,1997
21ecd92b,NL,1,NL,NL,0,Western,0,1988,2,1,1958,1954,NL,1,1988
242743fd,NL,2,NL,NL,0,Western,2,1992,2,1,1956,1966,NL,1,1992
245acfda,NL,1,NL,NL,0,Western,1,1957,1,1,1934,1920,NL,1,1957
247fbc76,NL,1,NL,NL,0,Western,1,1962,2,1,1924,1938,NL,1,1962
24f5df1e,NL,1,NL,NL,0,Western,1,1989,2,1,1963,1964,NL,1,1989
254f7859,NL,1,NL,France,1,Western,1,1968,1,1,1942,1930,NL,1,1968
2707d4e0,NL,2,NL,NL,0,Western,2,1980,2,1,1946,1947,NL,1,1980
28a097ab,NL,2,NL,France,1,Western,0,1965,2,1,1932,1943,NL,1,1965
2ab990a8,NL,1,NL,France,1,Western,2,1994,2,1,1967,1967,NL,1,1994
2ae09b76,NL,2,NL,Egypt,1,Western,0,1958,2,1,1933,1919,NL,1,1958
2ba7c873,NL,2,NL,NL,0,Western,2,1956,2,1,1919,1920,NL,1,1956
2bbc5d88,NL,2,NL,France,1,Western,1,1963,2,1,1928,1939,NL,1,1963
2c355d86,NL,1,NL,NL,0,Western,0,1951,2,1,1925,1919,NL,1,1951
2d1ba0a5,NL,1,NL,NL,0,Western,0,1992,2,1,1966,1969,NL,1,1992
2d457d5f,NL,2,NL,NL,0,Western,0,1992,2,1,1961,1954,NL,1,1992
2e034bc2,NL,1,NL,France,1,Western,0,1981,2,1,1949,1952,NL,1,1981
2e4a5aa7,NL,2,NL,NL,0,Western,0,1963,2,1,1926,1941,NL,1,1963
2e738989,NL,1,France,France,2,Western,0,1950,2,2,1919,1922,NL,1,1950
2ecb427e,NL,1,France,NL,1,Western,2,1983,2,1,1962,1945,NL,1,1983
2ed687a6,NL,-,France,NL,1,Western,1,1967,2,1,1929,1929,NL,1,1967
2f0335cb,NL,2,NL,France,1,Western,1,1955,2,1,1918,1929,NL,1,1955
30197924,NL,2,NL,France,1,Western,0,1989,2,1,1957,1963,NL,1,1989
3021edf4,NL,1,France,France,2,Western,1,1967,2,1,1929,1939,NL,1,1967
323b1c85,NL,2,NL,NL,0,Western,2,1998,2,1,1967,1964,NL,1,1998
34c3bf80,NL,1,France,NL,1,Western,1,1982,2,1,1954,1951,NL,1,1982
35273ddb,NL,1,NL,NL,0,Western,0,1997,2,1,1958,1964,NL,1,1997
359722c1,NL,2,NL,NL,0,Western,1,1950,2,1,1911,1916,NL,1,1950
36677213,NL,2,NL,NL,0,Western,0,1970,2,1,1942,1943,NL,1,1970
37490794,NL,1,NL,NL,0,Western,1,1970,2,1,1944,1943,NL,1,1970
37aba74f,NL,2,NL,NL,0,Western,0,1954,2,1,1924,1916,NL,1,1954
38f180e6,NL,2,Egypt,France,2,Western,0,1965,2,1,1941,1936,NL,1,1965
396388ef,NL,1,France,NL,1,Western,1,1998,2,1,1970,1973,NL,1,1998
3d190e9d,NL,2,NL,NL,0,Western,1,1990,2,1,1962,1959,NL,1,1990
3ecfc7de,NL,1,NL,US,1,Western,0,1966,1,1,1927,1940,NL,1,1966
3f4b9328,NL,1,NL,France,1,Western,0,1955,2,1,1931,1925,NL,1,1955
3fa5a4c1,NL,1,NL,NL,0,Western,0,1995,2,1,1966,1956,NL,1,1995
3facafe2,NL,1,NL,NL,0,Western,0,1999,2,1,1961,1968,NL,1,1999
431cea40,NL,1,NL,France,1,Western,1,1968,2,1,1932,1932,NL,1,1968
4332d9a0,NL,1,NL,NL,0,Western,2,1959,2,1,1924,1923,NL,1,1959
437acb0e,NL,1,NL,NL,0,Western,2,1955,2,1,1935,1933,NL,1,1955
442f923d,NL,1,NL,NL,0,Western,2,1997,2,1,1964,1970,NL,1,1997
4551f63c,NL,1,NL,NL,0,Western,1,1990,2,1,1959,1967,NL,1,1990
461f62ba,NL,1,NL,France,1,Western,2,1950,2,1,1922,1915,NL,1,1950
46b505a6,NL,2,NL,France,1,Western,1,1960,2,1,1939,1928,NL,1,1960
4ab1d7f3,NL,2,France,US,2,Western,0,1998,2,1,1961,1972,NL,1,1998
4ab62457,NL,2,NL,NL,0,Western,0,1984,2,1,1948,1963,NL,1,1984
4bfb08e0,NL,1,NL,NL,0,Western,2,1963,2,1,1925,1925,NL,1,1963
4d5f864d,NL,1,NL,NL,0,Western,0,1980,2,1,1941,1943,NL,1,1980
4f3a8f30,NL,2,NL,NL,0,Western,2,1970,2,1,1935,1945,NL,1,1970
504039d3,NL,1,NL,NL,0,Western,1,1965,2,1,1937,1944,NL,1,1965
52ba2d04,NL,2,NL,NL,0,Western,2,1954,2,1,1927,1931,NL,1,1954
55a4503d,NL,2,France,France,2,Western,1,1989,2,1,1951,1966,NL,1,1989
563983b6,NL,1,NL,France,1,Western,2,1981,2,1,1954,1956,NL,1,1981
56b25cd7,NL,1,NL,NL,0,Western,1,1965,2,1,1939,1937,NL,1,1965
56f21f55,NL,2,NL,NL,0,Western,1,1986,2,1,1966,1962,NL,1,1986
57c99fa1,NL,1,NL,NL,0,Western,2,1983,2,1,1955,1947,NL,1,1983
59eef06d,NL,2,NL,France,1,Western,1,1995,2,1,1958,1974,NL,1,1995
5d71be0c,NL,2,NL,NL,0,Western,1,1989,2,1,1968,1961,NL,1,1989
5e610014,NL,1,NL,France,1,Western,1,1951,2,1,1924,1931,NL,1,1951
5f17663d,NL,1,NL,France,1,Western,1,1992,2,1,1971,1963,NL,1,1992
5f2120dd,NL,1,France,NL,1,Western,0,1989,2,1,1966,1961,NL,1,1989
60a59d38,NL,1,NL,France,1,Western,1,1997,2,1,1965,1973,NL,1,1997
61243c95,NL,1,NL,NL,0,Western,0,1980,2,1,1960,1954,NL,1,1980
61afa796,NL,2,NL,NL,0,Western,1,1993,2,1,1971,1954,NL,1,1993
62058e8a,NL,1,NL,NL,0,Western,1,1981,2,1,1944,1953,NL,1,1981
62e811bb,NL,2,NL,Egypt,1,Western,0,1952,2,1,1930,1925,NL,1,1952
63d409b8,NL,-,NL,NL,0,Western,1,1950,2,1,1916,1925,NL,1,1950
649fec27,NL,1,France,NL,1,Western,2,1996,2,1,1962,1967,NL,1,1996
